iter	Logloss
0	0.689241962
1	0.6859995743
2	0.6828193544
3	0.6785786306
4	0.6753170399
5	0.6714112949
6	0.6683923382
7	0.6652040371
8	0.6629062925
9	0.6584609308
10	0.6562620615
11	0.652846715
12	0.6491468609
13	0.6459014816
14	0.6426792707
15	0.6394475853
16	0.6365875594
17	0.6341606999
18	0.6316769195
19	0.6284544463
20	0.6253290327
21	0.6218528817
22	0.6192079739
23	0.6165360792
24	0.6131172509
25	0.6101751801
26	0.6063419821
27	0.6022424752
28	0.5995970894
29	0.5970033096
30	0.5938818465
31	0.5915833352
32	0.5886988116
33	0.58616433
34	0.5832972186
35	0.5803620181
36	0.5772040636
37	0.5742369427
38	0.57178664
39	0.5686764402
40	0.5664755671
41	0.563671494
42	0.5611772012
43	0.5587108874
44	0.556412225
45	0.5536575426
46	0.5510503033
47	0.5491289303
48	0.5463494085
49	0.5437067392
50	0.5415698548
51	0.5391666368
52	0.5368512621
53	0.5344609387
54	0.5318294424
55	0.5296826809
56	0.5274038907
57	0.5249315848
58	0.523075497
59	0.5208681065
60	0.5183072747
61	0.5147433579
62	0.5133884066
63	0.5112049059
64	0.5097828228
65	0.5073619654
66	0.5050826933
67	0.5027619769
68	0.5010633033
69	0.4988784809
70	0.4969802997
71	0.4954072512
72	0.4935136235
73	0.4911723841
74	0.4889389752
75	0.4862298774
76	0.4845225029
77	0.4818256541
78	0.4798255342
79	0.4775320731
80	0.4754429895
81	0.4729335969
82	0.4710653952
83	0.4681309364
84	0.4668484282
85	0.4645873977
86	0.4625856533
87	0.4600235914
88	0.4582957204
89	0.4563449727
90	0.4542214089
91	0.4520291146
92	0.4502060805
93	0.4484893805
94	0.4463323125
95	0.4445551874
96	0.4425209094
97	0.440518726
98	0.4391247536
99	0.4378441268
100	0.4364063448
101	0.4349182494
102	0.432618448
103	0.4303291323
104	0.4279298193
105	0.4263624522
106	0.4249293919
107	0.4236510863
108	0.4227343773
109	0.4209469102
110	0.4193659854
111	0.417895127
112	0.4162192228
113	0.414139513
114	0.4126205488
115	0.410997719
116	0.4093142029
117	0.4075801612
118	0.4060940126
119	0.403990291
120	0.4019779275
121	0.4002590809
122	0.3989372706
123	0.3970793825
124	0.3954488152
125	0.3944901751
126	0.3935336416
127	0.392015504
128	0.3897547889
129	0.3878525694
130	0.3863623023
131	0.3847625087
132	0.3831752976
133	0.3817933912
134	0.3802500284
135	0.3785218428
136	0.3773438572
137	0.3756531287
138	0.3743040783
139	0.3727830726
140	0.3717190686
141	0.3709018745
142	0.3697526226
143	0.3681891367
144	0.3670338075
145	0.3656313665
146	0.3643245126
147	0.3630642332
148	0.3615357682
149	0.3603141208
150	0.3583310017
151	0.3568216946
152	0.3556912781
153	0.3548746061
154	0.3537766
155	0.3526494124
156	0.3514411875
157	0.3497582138
158	0.3489363771
159	0.3475647794
160	0.3461003845
161	0.3446721528
162	0.3434618689
163	0.3426705618
164	0.3414633149
165	0.3403289604
166	0.3388339933
167	0.3376088538
168	0.3365344524
169	0.3353033403
170	0.3343075622
171	0.332962703
172	0.3318747811
173	0.3303884201
174	0.3295383328
175	0.3284153454
176	0.3270390737
177	0.3261291639
178	0.3252594779
179	0.323993708
180	0.3228430788
181	0.3218888154
182	0.3203905934
183	0.3192351098
184	0.318344856
185	0.317394988
186	0.3163055079
187	0.3155176779
188	0.3145432765
189	0.3136359878
190	0.3128218599
191	0.3120424101
192	0.3108375599
193	0.3099497092
194	0.3085066257
195	0.3072724952
196	0.3064830927
197	0.3055065614
198	0.3042026251
199	0.3032310579
200	0.302420792
201	0.3012449157
202	0.3005145514
203	0.2995743563
204	0.2986562282
205	0.2977133863
206	0.2967267365
207	0.2956033014
208	0.2945542355
209	0.2932659236
210	0.2923735914
